fd_team_id,fd_team_key,fo_team,cfbd_team_id
177,AKRON,Akron,2006
275,ALA,Alabama,333
331,APPLST,Appalachian State,2026
247,ARZ,Arizona,12
255,ARZST,Arizona State,9
276,ARK,Arkansas,8
327,ARKST,Arkansas State,2032
263,ARMY,Army,349
279,AUBRN,Auburn,2
184,BALLST,Ball State,2050
108,BAYL,Baylor,239
215,BOISE,Boise State,68
35,BOSCOL,Boston College,103
181,BOWLGR,Bowling Green,189
179,BUF,Buffalo,2084
336,BYU,BYU,252
251,CAH,California,25
185,CMICH,Central Michigan,2117
142,CHARLT,Charlotte,2429
4,CIN,Cincinnati,2132
27,CLMSN,Clemson,228
81,COAST,Coastal Carolina,324
250,COL,Colorado,38
217,COLST,Colorado State,36
3,UCONN,Connecticut,41
26,DUKE,Duke,150
9,ECAR,East Carolina,151
187,EMICH,Eastern Michigan,2199
271,FL,Florida,57
145,FLATL,Florida Atlantic,2226
140,FLINT,Florida International,2229
29,FLST,Florida State,52
213,FREST,Fresno State,278
272,GA,Georgia,61
329,GAS,Georgia Southern,290
328,GAST,Georgia State,2247
32,GTECH,Georgia Tech,59
115,HAWAII,Hawaii,62
6,HOU,Houston,248
102,ILL,Illinois,356
93,IND,Indiana,84
91,IOWA,Iowa,2294
110,IOWAST,Iowa State,66
106,KAN,Kansas,2305
112,KANST,Kansas State,2306
178,KENTST,Kent State,2309
268,UK,Kentucky,96
84,LIBRTY,Liberty,2335
324,LOULAF,Louisiana,309
137,LOUTCH,Louisiana Tech,2348
24,LOU,Louisville,97
269,LSU,LSU,99
136,MARSH,Marshall,276
92,MARY,Maryland,120
55,UMASS,Massachusetts,113
7,MPHS,Memphis,235
23,MIA,Miami,2390
182,MIAOH,Miami (OH),193
95,MICH,Michigan,130
97,MST,Michigan State,127
135,MTNST,Middle Tennessee,2393
104,MINNST,Minnesota,135
278,MSPST,Mississippi State,344
280,MISSR,Missouri,142
258,NAVY,Navy,2426
33,NCST,NC State,152
99,NEBR,Nebraska,158
216,NEVADA,Nevada,2440
214,NMX,New Mexico,167
344,NMXST,New Mexico State,166
21,NCAR,North Carolina,153
141,NTX,North Texas,249
186,NILL,Northern Illinois,2459
100,NW,Northwestern,77
25,ND,Notre Dame,87
180,OHIO,Ohio,195
98,OHIOST,Ohio State,194
105,OKL,Oklahoma,201
113,OKST,Oklahoma State,197
138,OLD,Old Dominion,295
274,MISS,Ole Miss,145
245,ORE,Oregon,2483
252,OREGST,Oregon State,204
101,PENNST,Penn State,213
28,PITT,Pittsburgh,221
94,PUR,Purdue,2509
146,RICE,Rice,242
103,RUTGER,Rutgers,164
212,SDST,San Diego State,21
222,SJST,San Jose State,23
1,SMU,SMU,2567
330,SALA,South Alabama,6
267,SC,South Carolina,2579
11,SFL,South Florida,58
143,SOUMIS,Southern Mississippi,2572
254,STAN,Stanford,24
30,SYRA,Syracuse,183
114,TCU,TCU,2628
2,TEMPL,Temple,218
277,TENN,Tennessee,2633
109,TX,Texas,251
270,TXAM,Texas A&M,245
332,TXST,Texas State,326
111,TXTECH,Texas Tech,2641
183,TOLEDO,Toledo,2649
333,TROY,Troy,2653
10,TULANE,Tulane,2655
5,TULSA,Tulsa,202
134,UAB,UAB,5
8,UCF,UCF,2116
253,UCLA,UCLA,26
326,LAMON,UL Monroe,2433
218,UNLV,UNLV,2439
246,USC,USC,30
248,UTAH,Utah,254
220,UTAHST,Utah State,328
139,UTEP,UTEP,2638
147,UTSA,UTSA,2636
273,VAND,Vanderbilt,238
22,VIR,Virginia,258
31,VTECH,Virginia Tech,259
34,WAKE,Wake Forest,154
249,WASH,Washington,264
256,WASHST,Washington State,265
107,WVIR,West Virginia,277
144,WKENT,Western Kentucky,98
188,WMICH,Western Michigan,2711
96,WISC,Wisconsin,275
219,WYOM,Wyoming,2751
